gene,GH,AN,MH,US,sum,max_PBE,max_PBE_pop
Zm00001d042953,1,1,1,1,4,1.35402524340863,MH
Zm00001d045993,1,1,1,1,4,1.35402524340863,MH
Zm00001d017764,1,1,1,1,4,1.34975050326415,AN
Zm00001d017765,1,1,1,1,4,1.34975050326415,AN
Zm00001d017766,1,1,1,1,4,1.34975050326415,AN
Zm00001d035031,1,1,1,1,4,1.34975050326415,AN
Zm00001d035032,1,1,1,1,4,1.34975050326415,AN
Zm00001d035033,1,1,1,1,4,1.34975050326415,AN
Zm00001d037195,1,1,1,1,4,1.34975050326415,AN
Zm00001d037196,1,1,1,1,4,1.34975050326415,AN
Zm00001d037605,1,1,1,1,4,1.34975050326415,AN
Zm00001d018641,1,1,1,1,4,1.34975050326415,AN
Zm00001d018642,1,1,1,1,4,1.34975050326415,AN
Zm00001d018643,1,1,1,1,4,1.34975050326415,AN
Zm00001d029299,1,1,1,1,4,1.34357791386026,AN
Zm00001d029300,1,1,1,1,4,1.34357791386026,AN
Zm00001d029301,1,1,1,1,4,1.34357791386026,AN
Zm00001d025957,1,1,1,1,4,1.34357791386026,AN
Zm00001d007949,1,1,1,1,4,1.34357791386026,AN
Zm00001d041732,1,1,1,1,4,1.34357791386026,AN
Zm00001d041733,1,1,1,1,4,1.34357791386026,AN
Zm00001d018443,1,1,1,1,4,1.34357791386026,AN
Zm00001d018444,1,1,1,1,4,1.34357791386026,AN
Zm00001d018445,1,1,1,1,4,1.34357791386026,AN
Zm00001d044024,1,1,1,1,4,1.34176783519496,US
Zm00001d049800,1,1,1,1,4,1.34176783519496,US
Zm00001d049801,1,1,1,1,4,1.34176783519496,US
Zm00001d050664,1,1,1,1,4,1.34176783519496,US
Zm00001d050666,1,1,1,1,4,1.34176783519496,US
Zm00001d050667,1,1,1,1,4,1.34176783519496,US
Zm00001d050671,1,1,1,1,4,1.34176783519496,US
Zm00001d050672,1,1,1,1,4,1.34176783519496,US
Zm00001d018529,1,1,1,1,4,1.34176783519496,US
Zm00001d039043,1,1,1,1,4,1.34176783519496,US
Zm00001d039044,1,1,1,1,4,1.34176783519496,US
Zm00001d039045,1,1,1,1,4,1.34176783519496,US
Zm00001d012083,1,1,1,1,4,1.34176783519496,US
Zm00001d012084,1,1,1,1,4,1.34176783519496,US
Zm00001d012085,1,1,1,1,4,1.34176783519496,US
Zm00001d028948,1,1,1,1,4,1.3371415630685,AN
Zm00001d026288,1,1,1,1,4,1.3371415630685,AN
Zm00001d039434,1,1,1,1,4,1.3371415630685,AN
Zm00001d035195,1,1,1,1,4,1.3371415630685,AN
Zm00001d037425,1,1,1,1,4,1.3371415630685,AN
Zm00001d023208,1,1,1,1,4,1.3355809354829,US
Zm00001d018593,1,1,1,1,4,1.3355809354829,US
Zm00001d018594,1,1,1,1,4,1.3355809354829,US
Zm00001d018595,1,1,1,1,4,1.3355809354829,US
Zm00001d001843,1,1,1,1,4,1.3328066761694,US
Zm00001d001844,1,1,1,1,4,1.3328066761694,US
Zm00001d028187,1,1,1,1,4,1.31739781204614,AN
Zm00001d028188,1,1,1,1,4,1.31739781204614,AN
Zm00001d039251,1,1,1,1,4,1.31739781204614,AN
Zm00001d039252,1,1,1,1,4,1.31739781204614,AN
Zm00001d039253,1,1,1,1,4,1.31739781204614,AN
Zm00001d039618,1,1,1,1,4,1.31739781204614,AN
Zm00001d041712,1,1,1,1,4,1.31739781204614,AN
Zm00001d043661,1,1,1,1,4,1.31739781204614,AN
Zm00001d037659,1,1,1,1,4,1.31739781204614,AN
Zm00001d045109,1,1,1,1,4,1.31739781204614,AN
Zm00001d045111,1,1,1,1,4,1.31739781204614,AN
Zm00001d040196,1,1,1,1,4,1.28932974681348,AN
Zm00001d040197,1,1,1,1,4,1.28932974681348,AN
Zm00001d024808,1,1,1,1,4,1.28093304546238,MH
